Date,Open,High,Low,Close,Adj Close,Volume
1997-12-08,473.529999,474.339996,470.769989,472.489990,472.489990,490320000
1997-12-09,472.489990,472.489990,466.820007,467.750000,467.750000,539130000
1997-12-10,467.750000,467.750000,461.380005,465.119995,465.119995,602290000
1997-12-11,465.119995,465.119995,455.279999,456.790009,456.790009,631770000
1997-12-12,456.790009,459.559998,451.380005,454.640015,454.640015,579280000
1997-12-15,454.640015,460.970001,454.640015,459.859985,459.859985,597150000
1997-12-16,459.859985,465.279999,459.859985,462.649994,462.649994,623320000
1997-12-17,462.649994,466.320007,459.859985,460.500000,460.500000,618900000
1997-12-18,460.500000,460.500000,451.980011,454.519989,454.519989,618870000
1997-12-19,454.519989,454.519989,439.690002,450.529999,450.529999,793200000
1997-12-22,450.529999,456.239990,449.609985,453.799988,453.799988,530670000
1997-12-23,453.799988,454.149994,445.079987,445.260010,445.260010,515070000
1997-12-24,445.260010,447.649994,442.540009,442.540009,442.540009,265980000
1997-12-26,442.540009,446.420013,442.540009,445.130005,445.130005,154900000
1997-12-29,445.130005,453.279999,445.130005,453.019989,453.019989,443160000
1997-12-30,453.000000,461.329987,453.000000,461.329987,461.329987,499500000
1997-12-31,461.329987,462.679993,458.859985,459.940002,459.940002,467280000
1998-01-02,459.940002,463.209991,457.929993,463.209991,463.209991,366730000
1998-01-05,463.209991,466.299988,459.329987,463.239990,463.239990,628070000
1998-01-06,463.239990,463.239990,455.649994,457.640015,457.640015,618360000
1998-01-07,457.640015,457.640015,450.399994,456.529999,456.529999,667390000
1998-01-08,456.529999,456.529999,452.410004,452.950012,452.950012,652140000
1998-01-09,452.950012,452.989990,436.739990,439.510010,439.510010,746420000
1998-01-12,439.510010,445.559998,431.760010,445.559998,445.559998,705450000
1998-01-13,445.559998,451.000000,445.559998,450.989990,450.989990,646740000
1998-01-14,450.989990,454.390015,449.279999,453.989990,453.989990,603280000
1998-01-15,453.989990,454.209991,450.730011,450.880005,450.880005,569050000
1998-01-16,450.880005,458.130005,450.880005,456.049988,456.049988,670080000
1998-01-20,456.049988,465.029999,455.980011,464.850006,464.850006,644790000
1998-01-21,464.850006,464.850006,457.850006,460.929993,460.929993,626160000
1998-01-22,460.929993,460.929993,455.470001,457.230011,457.230011,646570000
1998-01-23,457.230011,459.450012,451.579987,455.070007,455.070007,635770000
1998-01-26,455.070007,458.299988,454.190002,455.779999,455.779999,555080000
1998-01-27,455.779999,464.670013,455.459991,461.859985,461.859985,679140000
1998-01-28,461.859985,468.059998,461.859985,467.230011,467.230011,708470000
1998-01-29,467.230011,474.859985,466.480011,471.380005,471.380005,750760000
1998-01-30,471.380005,472.309998,468.420013,468.790009,468.790009,613380000
1998-02-02,468.790009,479.820007,468.790009,478.940002,478.940002,724320000
1998-02-03,478.940002,481.100006,476.750000,480.820007,480.820007,692120000
1998-02-04,480.820007,483.339996,478.320007,481.329987,481.329987,695420000
1998-02-05,481.329987,484.859985,478.209991,479.799988,479.799988,703980000
